학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000002572,두실초등학교,초등학교,2006-03-01,공립,본교,운영,부산광역시 금정구 구서동 1052,부산광역시 금정구 중앙대로1893번길 33 (구서동. 두실초등학교),7150000,부산광역시교육청,7191000,부산광역시동래교육지원청,2013-11-29,2022-10-06,35.25315685,129.0894002,2023-03-22
B000003370,대전중촌초등학교,초등학교,1993-03-01,공립,본교,운영,대전광역시 중구 중촌동 83,대전광역시 중구 대종로 684 (중촌동.대전중촌초등학교),7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2022-10-06,36.341067,127.4108287,2023-03-22
B000003692,산남초등학교,초등학교,1989-03-01,공립,본교,운영,경기도 수원시 영통구 매탄동 111-164,경기도 수원시 영통구 산남로 86 (매탄동.산남초등학교),7530000,경기도교육청,7541000,경기도수원교육지원청,2013-11-29,2022-10-06,37.27064523,127.0501161,2023-03-22
B000004979,온정초등학교,초등학교,1951-09-15,공립,본교,운영,강원도 속초시 노학동 620,강원도 속초시 온천로 107 . 온정초등학교 (노학동),7800000,강원도교육청,7862000,강원도속초양양교육지원청,2013-11-29,2022-10-06,38.1899335,128.5539681,2023-03-22
B000002042,서울덕암초등학교,초등학교,2003-03-03,공립,본교,운영,서울특별시 노원구 상계동 1274,서울특별시 노원구 덕릉로112길 68 . 서울덕암초등학교 (상계동),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.66816023,127.0812564,2023-03-22
B000005077,공근초등학교,초등학교,1925-10-03,공립,본교,운영,강원도 횡성군 공근면 학담리 113,강원도 횡성군 공근면 영서로 207 . 공근초등학교 (공근면),7800000,강원도교육청,7891000,강원도횡성교육지원청,2013-11-29,2022-10-06,37.53432594,127.9620227,2023-03-22
B000007883,도마초등학교,초등학교,1940-05-10,공립,본교,운영,경상남도 남해군 고현면 도마리 137,경상남도 남해군 고현면 남해대로 3173 (고현면. 도마초등학교),9010000,경상남도교육청,9171000,경상남도남해교육지원청,2013-11-29,2022-10-06,34.8691038,127.8929745,2023-03-22
B000005606,신풍초등학교,초등학교,1927-06-10,공립,본교,운영,충청남도 공주시 신풍면 산정리 191,충청남도 공주시 신풍면 신풍길 50-11 (신풍면),8140000,충청남도교육청,8161000,충청남도공주교육지원청,2013-11-29,2022-10-06,36.51770841,126.952439,2023-03-22
B000005644,청파초등학교호도분교장,초등학교,1961-09-01,공립,분교,운영,충청남도 보령시 오천면 녹도리 360,충청남도 보령시 오천면 호도길 81 . 청파초등학교 호도분교장 (오천면),8140000,충청남도교육청,8171000,충청남도보령교육지원청,2013-11-29,2022-10-06,36.30252951,126.2673585,2023-03-22
B000007049,안동용상초등학교,초등학교,1962-12-10,공립,본교,운영,경상북도 안동시 용상동 1176-1,경상북도 안동시 경동로 900 (용상동. 안동용상초등학교),8750000,경상북도교육청,8791000,경상북도안동교육지원청,2013-11-29,2022-10-06,36.55772365,128.7528722,2023-03-22
